player_name,policy_version,won,tactic,recommendations,aligned,adherence_rate_pct
Auri,42,true,diplomacy_pressure,1124,52,4.63
Auri,42,true,economy_cadence,263,42,15.97
Auri,42,true,finish_pressure,1,1,100.0
Auri,42,true,frontier_conversion,566,315,55.65
Auri,42,true,naval_control,1289,300,23.27
Auri,42,true,opening_tempo,51,46,90.2
Auri,42,true,strike_targeting,455,16,3.52
Auri,42,true,transport_banking,587,134,22.83
K1Z juryoku-koku,3,true,diplomacy_pressure,1228,184,14.98
K1Z juryoku-koku,3,true,economy_cadence,432,71,16.44
K1Z juryoku-koku,3,true,frontier_conversion,992,190,19.15
K1Z juryoku-koku,3,true,naval_control,2225,487,21.89
K1Z juryoku-koku,3,true,opening_tempo,129,82,63.57
K1Z juryoku-koku,3,true,strike_targeting,58,23,39.66
K1Z juryoku-koku,3,true,transport_banking,1276,249,19.51
K1Z katanasan,39,true,diplomacy_pressure,508,83,16.34
K1Z katanasan,39,true,economy_cadence,219,40,18.26
K1Z katanasan,39,true,frontier_conversion,257,73,28.4
K1Z katanasan,39,true,naval_control,975,214,21.95
K1Z katanasan,39,true,opening_tempo,70,40,57.14
K1Z katanasan,39,true,strike_targeting,7,7,100.0
K1Z katanasan,39,true,transport_banking,563,110,19.54
RelhAlpha,3,true,diplomacy_pressure,329,14,4.26
RelhAlpha,3,true,economy_cadence,341,26,7.62
RelhAlpha,3,true,finish_pressure,1,1,100.0
RelhAlpha,3,true,frontier_conversion,91,49,53.85
RelhAlpha,3,true,naval_control,332,30,9.04
RelhAlpha,3,true,opening_tempo,6,6,100.0
RelhAlpha,3,true,transport_banking,121,27,22.31
Richard Higgins,7,true,diplomacy_pressure,1623,41,2.53
Richard Higgins,7,true,economy_cadence,794,71,8.94
Richard Higgins,7,true,finish_pressure,2,1,50.0
Richard Higgins,7,true,frontier_conversion,806,674,83.62
Richard Higgins,7,true,naval_control,1540,324,21.04
Richard Higgins,7,true,opening_tempo,66,50,75.76
Richard Higgins,7,true,strike_targeting,514,0,0.0
Richard Higgins,7,true,transport_banking,991,310,31.28
Ron @ SWGY,1,true,diplomacy_pressure,121,17,14.05
Ron @ SWGY,1,true,economy_cadence,20,13,65.0
Ron @ SWGY,1,true,frontier_conversion,41,25,60.98
Ron @ SWGY,1,true,naval_control,134,52,38.81
Ron @ SWGY,1,true,opening_tempo,18,9,50.0
Ron @ SWGY,1,true,strike_targeting,42,0,0.0
Ron @ SWGY,1,true,transport_banking,66,23,34.85
